feature_index,transformed_feature,feature_type
149,categorical__admission_source_description_Emergency Room,categorical
150,categorical__admission_source_description_HMO Referral,categorical
151,categorical__admission_source_description_Not Mapped,categorical
152,categorical__admission_source_description_Other,categorical
153,categorical__admission_source_description_Physician Referral,categorical
154,categorical__admission_source_description_Transfer from a Skilled Nursing Facility (SNF),categorical
155,categorical__admission_source_description_Transfer from a hospital,categorical
156,categorical__admission_source_description_Transfer from another health care facility,categorical
157,categorical__admission_source_description_Unknown,categorical
158,categorical__diag_1_family_Blood disorders,categorical
159,categorical__diag_1_family_Circulatory,categorical
160,categorical__diag_1_family_Digestive,categorical
161,"categorical__diag_1_family_Endocrine, nutritional & metabolic",categorical
162,categorical__diag_1_family_Genitourinary,categorical
163,categorical__diag_1_family_Infectious & parasitic,categorical
164,categorical__diag_1_family_Injury & poisoning,categorical
165,categorical__diag_1_family_Mental disorders,categorical
166,categorical__diag_1_family_Musculoskeletal & connective tissue,categorical
167,categorical__diag_1_family_Neoplasms,categorical
168,categorical__diag_1_family_Nervous system & sense organs,categorical
169,categorical__diag_1_family_Other,categorical
170,categorical__diag_1_family_Pregnancy & childbirth,categorical
171,categorical__diag_1_family_Respiratory,categorical
172,categorical__diag_1_family_Skin & subcutaneous tissue,categorical
173,categorical__diag_1_family_Supplementary factors,categorical
174,categorical__diag_1_family_Symptoms & ill-defined conditions,categorical
175,categorical__diag_2_family_Blood disorders,categorical
176,categorical__diag_2_family_Circulatory,categorical
177,categorical__diag_2_family_Digestive,categorical
178,"categorical__diag_2_family_Endocrine, nutritional & metabolic",categorical
179,categorical__diag_2_family_External causes,categorical
180,categorical__diag_2_family_Genitourinary,categorical
181,categorical__diag_2_family_Infectious & parasitic,categorical
182,categorical__diag_2_family_Injury & poisoning,categorical
183,categorical__diag_2_family_Mental disorders,categorical
184,categorical__diag_2_family_Musculoskeletal & connective tissue,categorical
185,categorical__diag_2_family_Neoplasms,categorical
186,categorical__diag_2_family_Nervous system & sense organs,categorical
187,categorical__diag_2_family_Other,categorical
188,categorical__diag_2_family_Other / Unclassified,categorical
189,categorical__diag_2_family_Pregnancy & childbirth,categorical
190,categorical__diag_2_family_Respiratory,categorical
191,categorical__diag_2_family_Skin & subcutaneous tissue,categorical
192,categorical__diag_2_family_Supplementary factors,categorical
193,categorical__diag_2_family_Symptoms & ill-defined conditions,categorical
194,categorical__diag_3_family_Blood disorders,categorical
195,categorical__diag_3_family_Circulatory,categorical
196,categorical__diag_3_family_Digestive,categorical
197,"categorical__diag_3_family_Endocrine, nutritional & metabolic",categorical
198,categorical__diag_3_family_External causes,categorical
199,categorical__diag_3_family_Genitourinary,categorical
200,categorical__diag_3_family_Infectious & parasitic,categorical
201,categorical__diag_3_family_Injury & poisoning,categorical
202,categorical__diag_3_family_Mental disorders,categorical
203,categorical__diag_3_family_Musculoskeletal & connective tissue,categorical
204,categorical__diag_3_family_Neoplasms,categorical
205,categorical__diag_3_family_Nervous system & sense organs,categorical
206,categorical__diag_3_family_Other,categorical
207,categorical__diag_3_family_Other / Unclassified,categorical
208,categorical__diag_3_family_Pregnancy & childbirth,categorical
209,categorical__diag_3_family_Respiratory,categorical
210,categorical__diag_3_family_Skin & subcutaneous tissue,categorical
211,categorical__diag_3_family_Supplementary factors,categorical
212,categorical__diag_3_family_Symptoms & ill-defined conditions,categorical
